SCHOOL NAME,DISTrictNUMBER,DISTRICT NAME,EMH,EMH-Combined,SCHOOL NUMBER,rate_at.5_chng_ach,rate_at.5_chng_gro,pct_pts_chng_.5
ABRAHAM LINCOLN HIGH SCHOOL                                 ,880,DENVER COUNTY 1           ,H,   ,10,3,2,2
ACADEMY CHARTER SCHOOL                                      ,900,DOUGLAS COUNTY RE 1       ,E,   ,11,2,1,2
ACADEMY CHARTER SCHOOL                                      ,900,DOUGLAS COUNTY RE 1       ,M,   ,11,2,1,2
ACRES GREEN ELEMENTARY SCHOOL                               ,900,DOUGLAS COUNTY RE 1       ,E,   ,12,2,2,2
GLACIER PEAK ELEMENTARY SCHOOL                              ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,14,1,2,2
ACADEMY OF CHARTER SCHOOLS                                  ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,15,2,2,1
ACADEMY OF CHARTER SCHOOLS                                  ,20,ADAMS 12 FIVE STAR SCHOOLS,H,   ,15,3,2,2
ACADEMY OF CHARTER SCHOOLS                                  ,20,ADAMS 12 FIVE STAR SCHOOLS,M,   ,15,2,2,2
FOX HOLLOW ELEMENTARY SCHOOL                                ,130,CHERRY CREEK 5            ,E,   ,16,2,2,2
ACADEMY ENDEAVOUR ELEMENTARY SCHOOL                         ,1040,ACADEMY 20                ,E,   ,17,2,2,2
LIBERTY MIDDLE SCHOOL                                       ,130,CHERRY CREEK 5            ,M,   ,18,2,3,2
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL                     ,1040,ACADEMY 20                ,E,   ,19,2,2,1
ADAMS CITY MIDDLE SCHOOL                                    ,30,ADAMS COUNTY 14           ,M,   ,20,2,2,2
LESTER R ARNOLD HIGH SCHOOL                                 ,30,ADAMS COUNTY 14           ,H,   ,22,2,,1
ADAMS CITY HIGH SCHOOL                                      ,30,ADAMS COUNTY 14           ,H,   ,24,3,2,2
SKY VIEW MIDDLE SCHOOL                                      ,2700,PUEBLO COUNTY 70          ,M,   ,25,2,1,1
DESERT SAGE ELEMENTARY SCHOOL                               ,2700,PUEBLO COUNTY 70          ,E,   ,26,2,2,1
ADAMS ELEMENTARY SCHOOL                                     ,1420,JEFFERSON COUNTY R-1      ,E,   ,30,3,2,3
MC LAIN HIGH SCHOOL                                         ,1420,JEFFERSON COUNTY R-1      ,H,   ,33,1,,1
MC LAIN COMMUNITY HIGH SCHOOL                               ,1420,JEFFERSON COUNTY R-1      ,H,   ,34,,,2
FRONTIER CHARTER ACADEMY                                    ,970,CALHAN RJ-1               ,E,   ,35,1,,3
RED HILL ELEMENTARY SCHOOL                                  ,910,EAGLE COUNTY RE 50        ,E,   ,37,2,2,2
BRUSH CREEK ELEMENTARY SCHOOL                               ,910,EAGLE COUNTY RE 50        ,E,   ,38,3,2,2
GYPSUM CREEK MIDDLE SCHOOL                                  ,910,EAGLE COUNTY RE 50        ,M,   ,39,2,2,2
RIDGE VIEW ACADEMY CHARTER SCHOOL                           ,880,DENVER COUNTY 1           ,H,   ,40,2,3,3
ASPEN COMMUNITY CHARTER SCHOOL                              ,2640,ASPEN 1                   ,E,   ,42,3,2,2
ASPEN COMMUNITY CHARTER SCHOOL                              ,2640,ASPEN 1                   ,M,   ,42,3,3,2
THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY             ,2810,CENTER 26 JT              ,H,   ,51,,,2
