School_District,SchoolName,SchoolNumber,Remediation_AtLeastOne_Pct2010
DENVER COUNTY 1,ABRAHAM LINCOLN HIGH SCHOOL,0010,0.785714
NORTHGLENN-THORNTON 12,ACADEMY OF CHARTER SCHOOLS,0015,
ADAMS COUNTY 14,ADAMS CITY HIGH SCHOOL,0024,0.569231
JEFFERSON COUNTY R-1,MC LAIN HIGH SCHOOL,0033,0.545455
ACADEMY 20,AIR ACADEMY HIGH SCHOOL,0076,0.147368
AKRON R-1,AKRON HIGH SCHOOL,0090,
JEFFERSON COUNTY R-1,ALAMEDA HIGH SCHOOL,0108,0.5
ALAMOSA RE-11J,ALAMOSA HIGH SCHOOL,0118,0.483333
LITTLETON 6,ARAPAHOE HIGH SCHOOL,0298,0.166667
MAPLETON 1,SKYVIEW HIGH SCHOOL,0309,
JEFFERSON COUNTY R-1,ARVADA HIGH SCHOOL,0370,0.566038
JEFFERSON COUNTY R-1,ARVADA WEST HIGH SCHOOL,0378,0.327189
ASPEN 1,ASPEN HIGH SCHOOL,0432,0.204545
ROARING FORK RE-1,BASALT HIGH SCHOOL,0570,0.327273
EAGLE COUNTY RE 50,BATTLE MOUNTAIN HIGH SCHOOL,0604,0.328358
BAYFIELD 10 JT-R,BAYFIELD HIGH SCHOOL,0640,0.309524
JEFFERSON COUNTY R-1,BEAR CREEK HIGH SCHOOL,0664,0.222222
THOMPSON R-2J,BERTHOUD HIGH SCHOOL,0812,0.211765
BOULDER VALLEY RE 2,BOULDER HIGH SCHOOL,0924,0.162679
BRIGHTON 27J,BRIGHTON HIGH SCHOOL,1022,0.472
BOULDER VALLEY RE 2,BROOMFIELD HIGH SCHOOL,1070,0.25
BRUSH RE-2(J),BRUSH HIGH SCHOOL,1096,0.294118
BUENA VISTA R-31,BUENA VISTA HIGH SCHOOL,1130,0.340909
CANON CITY RE-1,CANON CITY HIGH SCHOOL,1266,0.337079
DELTA COUNTY 50(J),CEDAREDGE HIGH SCHOOL,1372,0.366667
NORTH CONEJOS RE-1J,CENTAURI HIGH SCHOOL,1378,
BOULDER VALLEY RE 2,CENTAURUS HIGH SCHOOL,1380,0.252336
