School Code,School Name,Physical Address,Physical City,Physical State,Physical Zipcode,Phone,LowestGrade,,School Type,Organization Code,District Name,District Size,District Setting
0010,ABRAHAM LINCOLN HIGH SCHOOL,2285 SOUTH FEDERAL BOULEVARD,DENVER,CO,80219,7204235000,9th Grade,12th Grade,Senior,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0011,ACADEMY CHARTER SCHOOL,1551 PRAIRIE HAWK DRIVE,CASTLE ROCK,CO,80104,3036604881,Kindergarten,9th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
0012,ACRES GREEN ELEMENTARY SCHOOL,13524 NORTH ACRES GREEN DRIVE,LITTLETON,CO,80124,3033877125,Preschool,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
0014,GLACIER PEAK ELEMENTARY SCHOOL,12060 JASMINE STREET,BRIGHTON,CO,80605,7209725940,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0015,ACADEMY OF CHARTER SCHOOLS,11800 LOWELL BLVD,WESTMINSTER,CO,80031,3032898088,Kindergarten,12th Grade,Senior,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0016,FOX HOLLOW ELEMENTARY SCHOOL,6363 SOUTH WACO STREET,AURORA,CO,80116,7208868700,Preschool,5th Grade,Elementary,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
0017,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,3475 HAMPTON PARK DRIVE,COLORADO SPRINGS,CO,80920,7192345600,Kindergarten,5th Grade,Elementary,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
0018,LIBERTY MIDDLE SCHOOL,21500 EAST DRY CREEK ROAD,AURORA,CO,80016,7208862400,6th Grade,8th Grade,Middle,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
0019,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,8550 CHARITY,COLORADO SPRINGS,CO,80920,7192344000,Preschool,5th Grade,Elementary,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
0020,ADAMS CITY MIDDLE SCHOOL,4451 EAST 72ND AVENUE,COMMERCE CITY,CO,80022,3032895881,6th Grade,8th Grade,Middle,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
0022,LESTER R ARNOLD HIGH SCHOOL,6500 EAST 72ND AVENUE,COMMERCE CITY,CO,80022,3032892983,9th Grade,12th Grade,Senior,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
0024,ADAMS CITY HIGH SCHOOL,7200 QUEBEC PARKWAY,COMMERCE CITY,CO,80022,3032893111,9th Grade,12th Grade,Senior,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
0025,SKY VIEW MIDDLE SCHOOL,1047 CAMINO DE BRAVO,PUEBLO WEST,CO,81007,7195471175,6th Grade,8th Grade,Middle,2700,PUEBLO COUNTY 70,"1,201 - 6,000",Urban-Suburban
0026,DESERT SAGE ELEMENTARY SCHOOL,935 SOUTH PALOMAR DRIVE,PUEBLO WEST,CO,81007,7196478878,Preschool,5th Grade,Elementary,2700,PUEBLO COUNTY 70,"1,201 - 6,000",Urban-Suburban
0029,ADULT & FAMILY LITERACY,2883 SO. CIRCLE DRIVE,COLORADO SPRINGS,CO,80906,7195794884,10th Grade,12th Grade,Senior,0980,HARRISON 2,"6,001 - 25,000",Urban-Suburban
0030,ADAMS ELEMENTARY SCHOOL,6450 WEST 95TH PLACE,WESTMINSTER,CO,80021,3039829790,Preschool,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
0033,MC LAIN HIGH SCHOOL,13600 WEST 2ND PLACE,LAKEWOOD,CO,80228,3039827460,7th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
0034,MC LAIN COMMUNITY HIGH SCHOOL,13600 WEST 2ND PLACE,LAKEWOOD,CO,80228,3039827462,8th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
0035,FRONTIER CHARTER ACADEMY,488 YODER STREET,CALHAN,CO,80808,7193473156,Kindergarten,8th Grade,Elementary,0970,CALHAN RJ-1,301 - 600,Rural
0037,RED HILL ELEMENTARY SCHOOL,100 GRUNDEL WAY,GYPSUM,CO,81637,9703288970,Kindergarten,5th Grade,Elementary,0910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
0038,BRUSH CREEK ELEMENTARY SCHOOL,333 EAGLE RANCH ROAD,EAGLE,CO,81631,9703288930,Preschool,5th Grade,Elementary,0910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
0039,GYPSUM CREEK MIDDLE SCHOOL,401 GRUNDEL WAY,GYPSUM,CO,81637,9703288980,6th Grade,8th Grade,Middle,0910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
0040,RIDGE VIEW ACADEMY CHARTER SCHOOL,28101 EAST QUINCY AVENUE,WATKINS,CO,80137,3032141139,9th Grade,12th Grade,Senior,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0042,ASPEN COMMUNITY CHARTER SCHOOL,1199 WOODY CREEK ROAD,WOODY CREEK,CO,81656,9709234080,Preschool,8th Grade,Elementary,2640,ASPEN 1,"1,201 - 6,000",Outlying Town
0044,AGATE ELEMENTARY SCHOOL,41032 2ND AVENUE,AGATE,CO,80101,7197642741,Preschool,5th Grade,Elementary,0960,AGATE 300,300 or less,Rural
0048,AGATE JUNIOR-SENIOR HIGH SCHOOL,41032 2ND AVENUE,AGATE,CO,80101,7197642741,6th Grade,12th Grade,Senior,0960,AGATE 300,300 or less,Rural
0050,RICO ELEMENTARY SCHOOL,101 SOUTH GLASGOW AVENUE,RICO,CO,81332,9709673450,Preschool,8th Grade,Elementary,0890,DOLORES COUNTY RE NO.2,300 or less,Rural
0051,THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY,550 S. SYLVESTER AVENUE,CENTER,CO,81125,7197542859,9th Grade,12th Grade,Senior,2810,CENTER 26 JT,601 - 1.200,Outlying Town
0052,HEIMAN ELEMENTARY SCHOOL,3500 PALERMO,EVANS,CO,80620,9703482400,Preschool,5th Grade,Elementary,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
0053,WINOGRAD K-8 ELEMENTARY SCHOOL,320 NORTH 71ST AVENUE,GREELEY,CO,80634,9703482600,Preschool,8th Grade,Elementary,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
0054,ROMERO ELEMENTARY SCHOOL,1400 EAST 20TH STREET,GREELEY,CO,80631,9703482500,Preschool,5th Grade,Elementary,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
0055,GRANDVIEW ELEMENTARY SCHOOL,1583 GRAND AVENUE,WINDSOR,CO,80550,9706868600,Preschool,5th Grade,Elementary,3100,WINDSOR RE-4,"1,201 - 6,000",Outlying Town
0056,FOWLER ELEMENTARY SCHOOL,601 WEST GRANT,FOWLER,CO,80139,7192634364,Kindergarten,6th Grade,Elementary,2540,FOWLER R-4J,301 - 600,Outlying Town
0057,ROCKY TOP MIDDLE SCHOOL,14150 YORK STREET,THORNTON,CO,80602,7209722200,6th Grade,8th Grade,Middle,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0058,AGUILAR ELEMENTARY SCHOOL,420 NORTH BALSAM,AGUILAR,CO,81020,7199414188,Preschool,6th Grade,Elementary,1620,AGUILAR REORGANIZED 6,300 or less,Rural
0059,MERIDIAN ELEMENTARY SCHOOL,14256 MCKAY PARK CIRCLE,BROOMFIELD,CO,80020,7209727880,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0060,LEGACY ELEMENTARY SCHOOL,7701 EAGLE BOULEVARD,FREDERICK,CO,80504,7206528160,Preschool,5th Grade,Elementary,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
0061,ALPINE ELEMENTARY SCHOOL,2005 ALPINE STREET,LONGMONT,CO,80501,7206528140,Preschool,5th Grade,Elementary,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
0063,PEAKVIEW SCHOOL,375 WEST PINE STREET,WALSENBURG,CO,81089,7197382190,Preschool,8th Grade,Elementary,1390,HUERFANO RE-1,601 - 1.200,Outlying Town
0064,ARCHULETA COUNTY HIGH SCHOOL,4TH & LEWIS,PAGOSA SPRINGS,CO,81147,9702642835,7th Grade,12th Grade,Senior,0220,ARCHULETA COUNTY 50 JT,"1,201 - 6,000",Outlying Town
0065,COAL RIDGE HIGH SCHOOL,35947 HIGHWAY 6,NEW CASTLE,CO,81647,9706256700,9th Grade,12th Grade,Senior,1195,GARFIELD RE-2,"1,201 - 6,000",Outlying Town
0066,AGUILAR JUNIOR-SENIOR HIGH SCHOOL,420 NORTH BALSAM,AGUILAR,CO,81020,7199414188,7th Grade,12th Grade,Senior,1620,AGUILAR REORGANIZED 6,300 or less,Rural
0067,ACADEMY OF URBAN LEARNING,835 EAST 18TH AVENUE,DENVER,CO,80218,3032820900,9th Grade,12th Grade,Senior,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0070,ADAMS12 FIVE STAR PRESCHOOL,1500 EAST 128TH AVENUE,THORNTON,CO,80241,7209726001,Preschool,Preschool,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0074,CHALLENGER MIDDLE SCHOOL,10215 LEXINGTON DRIVE,COLORADO SPRINGS,CO,80920,7192343000,6th Grade,8th Grade,Middle,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
0075,ANIMAS HIGH SCHOOL,3206 MAIN AVENUE,DURANGO,CO,81320,0,9th Grade,10th Grade,Senior,8001,Charter School Institute,#N/A,#N/A
0076,AIR ACADEMY HIGH SCHOOL,551 NORTH FRONTAGE ROAD WEST,USAF ACADEMY,CO,80840,7192342400,9th Grade,12th Grade,Senior,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
0086,AKRON ELEMENTARY SCHOOL,301 EAST FIFTH STREET,AKRON,CO,80720,9703452266,Preschool,8th Grade,Elementary,3030,AKRON R-1,301 - 600,Outlying Town
0090,AKRON HIGH SCHOOL,600 ELM,AKRON,CO,80720,9703452268,9th Grade,12th Grade,Senior,3030,AKRON R-1,301 - 600,Outlying Town
0108,ALAMEDA HIGH SCHOOL,1255 SOUTH WADSWORTH BLVD,LAKEWOOD,CO,80232,3039828160,9th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
0109,ARVADA K-8,5751 BALSAM STREET,ARVADA,CO,80002,3039821240,Kindergarten,8th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
0110,ACADEMY ONLINE HIGH SCHOOL,1110 CHAPEL HILLS DRIVE,COLORADO SPRINGS,CO,80920,7192341717,6th Grade,12th Grade,Senior,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
0114,ORTEGA MIDDLE SCHOOL,401 VICTORIA AVENUE,ALAMOSA,CO,81101,7195871650,6th Grade,8th Grade,Middle,0100,ALAMOSA RE-11J,"1,201 - 6,000",Outlying City
0115,ALAMOSA ELEMENTARY SCHOOL,1709 WEST 10TH STREET,ALAMOSA,CO,81101,7195871600,Kindergarten,5th Grade,Elementary,0100,ALAMOSA RE-11J,"1,201 - 6,000",Outlying City
0118,ALAMOSA HIGH SCHOOL,805 CRAFT DRIVE,ALAMOSA,CO,81101,7195876000,9th Grade,12th Grade,Senior,0100,ALAMOSA RE-11J,"1,201 - 6,000",Outlying City
0119,ALAMOSA OPEN SCHOOL,216 VICTORIA STREET,ALAMOSA,CO,81101,7195871640,6th Grade,12th Grade,Senior,0100,ALAMOSA RE-11J,"1,201 - 6,000",Outlying City
0124,STARS EARLY LEARNING CENTER,5650 BOWEN COURT,COMMERCE CITY,CO,80022,3038535000,Preschool,Kindergarten,Elementary,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
0125,ARAPAHOE RIDGE HIGH SCHOOL,6600 ARAPAHOE AVENUE,BOULDER,CO,80303,7205615220,9th Grade,12th Grade,Senior,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
0138,ALICE TERRY ELEMENTARY SCHOOL,4485 SOUTH IRVING STREET,ENGLEWOOD,CO,80150,7208336990,Kindergarten,2nd Grade,Elementary,0123,SHERIDAN 2,"1,201 - 6,000",Denver Metro
0141,SKY VISTA MIDDLE SCHOOL,4500 S HIMALAYA STREET,AURORA,CO,80015,7208864711,6th Grade,8th Grade,Middle,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
0146,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1800 SOUTH LEMAY AVENUE,FORT COLLINS,CO,80525,9704944620,Kindergarten,12th Grade,Senior,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
0148,ALLENDALE ELEMENTARY SCHOOL,5900 OAK STREET,ARVADA,CO,80004,3039821165,Kindergarten,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
0186,ALSUP ELEMENTARY SCHOOL,7101 BIRCH STREET,COMMERCE CITY,CO,80022,3032886865,Preschool,5th Grade,Elementary,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,8990 YORK STREET,THORNTON,CO,80299,3038531270,7th Grade,12th Grade,Senior,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0200,ALTA VISTA CHARTER SCHOOL,8785 ROAD LL,LAMAR,CO,81052,7193362154,Kindergarten,6th Grade,Elementary,2660,LAMAR RE-2,"1,201 - 6,000",Outlying City
0201,DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,15 SOUTH GILBERT STREET,CASTLE ROCK,CO,80104,3033870650,9th Grade,12th Grade,Senior,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
0202,SMITH HIGH SCHOOL,201 SOUTH 11TH AVENUE,STERLING,CO,80751,9705225079,9th Grade,12th Grade,Senior,1828,VALLEY RE-1,"1,201 - 6,000",Outlying City
0203,LORRAINE SECONDARY SCHOOL,301 EAST IOWA,FOUNTAIN,CO,80817,7193821550,6th Grade,12th Grade,Senior,1000,FOUNTAIN 8,"1,201 - 6,000",Urban-Suburban
