Organization Code,Organization Name,School Code,School Name,TOTAL,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,,,Created 11-5-12
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,556,0.017985612,0.003597122,0.025179856,0.611510791,0.31294964,0,0.028776978,,,
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,189,0.015873016,0.005291005,0.015873016,0.634920635,0.306878307,0,0.021164021,,,
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,448,0.004464286,0,0.011160714,0.904017857,0.075892857,0,0.004464286,,,
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,300,0,0.016666667,0.016666667,0.74,0.216666667,0,0.01,,,
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,416,0.004807692,0.012019231,0.004807692,0.826923077,0.141826923,0,0.009615385,,,
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,414,0.014492754,0.028985507,0.019323671,0.714975845,0.193236715,0.004830918,0.024154589,,,
0010,MAPLETON 1,0503,YORK INTERNATIONAL,747,0.009370817,0.014725569,0.010709505,0.752342704,0.187416332,0.001338688,0.024096386,,,
0010,MAPLETON 1,0504, WELBY MONTESSORI SCHOOL,283,0.010600707,0.017667845,0.021201413,0.699646643,0.22614841,0,0.024734982,,,
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,445,0.004494382,0.02247191,0.015730337,0.759550562,0.184269663,0,0.013483146,,,
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,350,0.005714286,0.005714286,0.02,0.582857143,0.362857143,0.005714286,0.017142857,,,
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,342,0.00877193,0.00877193,0,0.789473684,0.18128655,0,0.011695906,,,
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,440,0.006818182,0.018181818,0.022727273,0.636363636,0.284090909,0,0.031818182,,,
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,1543,0.034348671,0.006480881,0.051198963,0.14646792,0.727802981,0.011017498,0.022683085,,,
0010,MAPLETON 1,4699,THE NEW AMERICA SCHOOL,412,0,0.002427184,0.004854369,0.932038835,0.058252427,0,0.002427184,,,
0010,MAPLETON 1,5539,MAPLETON EARLY LEARNING CENTER,327,0.003058104,0.021406728,0.006116208,0.709480122,0.22324159,0,0.036697248,,,
0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,74,0.027027027,0,0.040540541,0.662162162,0.256756757,0,0.013513514,,,
0010,MAPLETON 1,9036,VALLEY VIEW K-8,474,0.029535865,0.004219409,0.012658228,0.696202532,0.229957806,0.002109705,0.025316456,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,527,0.001897533,0.05313093,0.013282732,0.360531309,0.548387097,0.001897533,0.020872865,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,1798,0.006674082,0.058954394,0.016129032,0.255283648,0.642380423,0.001112347,0.019466073,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,1114,0.006283662,0.070017953,0.015260323,0.175044883,0.724416517,0,0.008976661,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,592,0.003378378,0.055743243,0.011824324,0.077702703,0.829391892,0.001689189,0.02027027,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0070,ADAMS12 FIVE STAR PRESCHOOL,748,0.004010695,0.044117647,0.016042781,0.542780749,0.356951872,0.002673797,0.03342246,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,526,0.005703422,0.011406844,0.039923954,0.412547529,0.522813688,0.003802281,0.003802281,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,593,0.003372681,0.037099494,0.011804384,0.26306914,0.662731872,0,0.021922428,,,
