Report Card Element,Source File,Variable Characteristics--all are based on final rating (1 or 3 year),Variable location,Variable name,Notes,2012 UPDATE,UPDATED 12/5/12,,,,,,,,
School Name,SPF Official plan Flat File ,"Name of the School, All Uppercase in SPF",Final_grade,School Name,,,,,,,,,,,
School District,SPF Official plan Flat File ,"Name of the District, All Uppercase in SPF",Final_grade,District Name,,,,,,,,,,,
School Type,SPF Official plan Flat File ,"Variable in EMH, Need to Code to Elementary School…etc",Final_grade,EMH,,,,,,,,,,,
Mixed Grade,SPF Official plan Flat File ,"VARIABLE in EM, MH etc, need to translate",Final_grade,EMH_combined,,,,,,,,,,,
Alternative School,SPF Official plan Flat File ,"1 =yes,  0=no",Final_grade,AEC10,,,,,,,,,,,
Overall School Grade,To be Generated from SPF Official plan,Grade based on Percentile Ranking of SPF_TOTAL_PCT_PTS_EARNED (AL),Final_grade,School_Grade,,,,,,,,,,,
Raking,To be Generated from SPF Official plan,Rank List of SPF_TOTAL_PCT_PTS_EARNED (AL) - Need to break out by E/M/H,Final_grade,rank_tot,,,,,,,,,,,
Overall Achieveemnt Grade,To be generaed from SPF Official File,Grade Weighted Average Student Achievement,Final_grade,Overall_Ach_Grade,,,,,,,,,,,
Achieve Reading Grade,To be Generated from SPF Official plan,Grade based on Percentile Ranking of the Percent Proficient/Advanced Sub-Indicator for Reading,Final_grade,read_ach_grade,,,,,,,,,,,
Achieve Math Grade,To be Generated from SPF Official plan,Grade based on percentile ranking of the percent Proficient/Advanced  on math assessments ,Final_grade,math_ach_grade,,,,,,,,,,,
Achieve Writing/English Grade,To be Generated from SPF Official plan,Grade based onPercentile Ranking of the Percent Proficient/Advanced Sub-Indicator for Writing,Final_grade,Write_Ach_Grade,,,,,,,,,,,
Achieve Science Grade,To be Generated from SPF Official plan,Grade based on Percentile Ranking of the Percent Proficient/Advanced Sub-Indicator for Science,Final_grade,Sci_Ach_Grade,,,,,,,,,,,
Student Growth Overall Grade,To be Generated from SPF Official plan,Grade based on Weighted Average Student Growth,Final_grade,Overall_Weighted_Growth_Grade,,,,,,,,,,,
MGP Reading Grade,To be Generated from SPF Official plan,Grade based on Percentile Ranking of SPF_GRO_IND_MGP_READ (BV),Final_grade,Read_Growth_Grade,,,,,,,,,,,
MGP Math Grade,To be Generated from SPF Official plan,Grade based on Percentile Ranking of SPF_GRO_IND_MGP_MATH (CC),Final_grade,Math_Growth_Grade,,,,,,,,,,,
MGP Writing/English Grade,To be Generated from SPF Official plan,Grade based on Percentile Ranking of SPF_GRO_IND_MGP_WRITE (CJ),Final_grade,Write_Growth_Grade,,,,,,,,,,,
4 Year Graduation Cohort Rate,SPF Flat File All Records,Graduation Rate (Percent),Final_grade,SPF_PS_IND_GRAD_RATE,Use 4 year rate in 2012,,,,,,,,,,
ELL Graduation Rate ,SPF  Flat File All Records,Graduation rate of ELL Students (percent),Final_Grade,SPF_PS_ELL_GRAD_RATE,4 year rate,NEW in 2012,,,,,,,,,
ELL Growth Grade,SPF Flat File All Records,Grade based on percedntile ranking of CELApro MDG,Final grade,ELL_Growth_Grade,,NEW in 2012,,,,,,,,,
Overall Three Year Trend,To be Generated from SPF 1&3year file,Arrow Using Normal Scores of Percentile Ranking to split into 3 Std. Dev. Categories,1yr&3yr_change,pct_pts_chnge_.5,,,,,,,,,,,
Student Proficiency 3 Year Trend,To be Generated from SPF 1&3year file,Arrow Using Normal Scores of Percentile Ranking to split into 3 Std. Dev. Categories,1yr&3yr_change,rate_at.5_chng_ach,,,,,,,,,,,
