Record_no,District Code,District Name,School Code,School Name,EMH,EMH_combined,AEC10,SPF_PS_ELL_GRAD_RATE,School_Grade,rank_tot,Overall_Ach_Grade,read_ach_grade,math_ach_grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,ELL_Growth_Grade,SPF_PS_IND_GRAD_RATE
1,1040,ACADEMY 20,0017,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,E,E,N,,7,410,9,9,9,9,9,7,7,7,7,,
2,1040,ACADEMY 20,0019,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,E,E,N,,12,44,12,12,10,11,12,11,12,11,7,,
3,1040,ACADEMY 20,0110,ACADEMY ONLINE HIGH SCHOOL,H,H,N,-,,,,,,,,,,,,,-
4,1040,ACADEMY 20,0076,AIR ACADEMY HIGH SCHOOL,H,H,N,-,9,53,10,9,9,9,10,6,5,6,5,,90.
5,1040,ACADEMY 20,0249,ANTELOPE TRAILS ELEMENTARY SCHOOL,E,E,N,,10,120,10,10,9,10,9,9,6,9,9,,
6,1040,ACADEMY 20,0209,ASPEN VALLEY HIGH SCHOOL,H,H,N,-,7,136,6,9,3,6,3,12,12,10,12,,48.
7,1040,ACADEMY 20,0074,CHALLENGER MIDDLE SCHOOL,M,M,N,,8,162,10,9,9,9,12,6,7,6,7,,
8,1040,ACADEMY 20,1615,CHINOOK TRAIL ELEMENTARY SCHOOL,E,E,N,,13,1,12,12,10,12,12,12,10,12,9,,
9,1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,E,EMH,N,,6,479,10,9,11,10,9,5,1,6,6,,
10,1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,M,EMH,N,,9,140,10,9,10,10,10,7,6,6,7,,
11,1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,H,EMH,N,-,9,68,10,10,10,10,10,6,6,6,6,,90.
12,1040,ACADEMY 20,2248,DOUGLASS VALLEY ELEMENTARY SCHOOL,E,E,N,,6,673,7,8,6,8,9,5,6,3,5,,
13,1040,ACADEMY 20,2358,EAGLEVIEW MIDDLE SCHOOL,M,M,N,,9,148,9,9,9,9,9,7,6,7,8,,
