Record_no,SPF_DIST_NUMBER,SPF_DISTRICT_NAME,SPF_SCHOOL_NUMBER,SPF_SCHOOL_NAME,SPF_EMH_CODE,SPF_INCLUDED_EMH_FOR_A,rate_at.5_chng_ach,rate_at.5_chng_growth,pct_pts_chng_.5
1,1040,ACADEMY 20,0017,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,E,E,2,2,2
2,1040,ACADEMY 20,0019,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,E,E,2,2,2
3,1040,ACADEMY 20,0110,ACADEMY ONLINE HIGH SCHOOL,H,H,,,3
4,1040,ACADEMY 20,0076,AIR ACADEMY HIGH SCHOOL,H,H,2,2,2
5,1040,ACADEMY 20,0249,ANTELOPE TRAILS ELEMENTARY SCHOOL,E,E,2,2,3
6,1040,ACADEMY 20,0209,ASPEN VALLEY HIGH SCHOOL,H,H,2,2,2
7,1040,ACADEMY 20,0074,CHALLENGER MIDDLE SCHOOL,M,M,2,2,2
8,1040,ACADEMY 20,1615,CHINOOK TRAIL ELEMENTARY SCHOOL,E,E,2,2,2
9,1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,E,EMH,2,1,2
10,1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,M,EMH,2,2,2
11,1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,H,EMH,2,2,2
12,1040,ACADEMY 20,2248,DOUGLASS VALLEY ELEMENTARY SCHOOL,E,E,2,2,2
13,1040,ACADEMY 20,2358,EAGLEVIEW MIDDLE SCHOOL,M,M,2,2,2
14,1040,ACADEMY 20,2524,EDITH WOLFORD ELEMENTARY SCHOOL,E,E,2,2,2
15,1040,ACADEMY 20,2800,EXPLORER ELEMENTARY SCHOOL,E,E,2,2,2
16,1040,ACADEMY 20,3104,FOOTHILLS ELEMENTARY SCHOOL,E,E,2,2,2
17,1040,ACADEMY 20,3238,FRONTIER ELEMENTARY SCHOOL,E,E,2,2,2
18,1040,ACADEMY 20,3985,HIGH PLAINS ELEMENTARY SCHOOL,E,E,1,2,1
19,1040,ACADEMY 20,5126,LIBERTY HIGH SCHOOL,H,H,2,3,2
20,1040,ACADEMY 20,6140,MOUNTAIN RIDGE MIDDLE SCHOOL,M,M,2,2,2
