District No,School Name,District Name,School No,eng_yn,math_yn,read_yn,sci_yn,,,,"2012 ACT data created Nov 7, 2012",,,,,,,,,,,,,,,,,,
0010,ACADEMY HIGH SCHOOL,MAPLETON 1,0309,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0010,COLORADO CONNECTIONS ACADEMY,MAPLETON 1,1796,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0010,DISTRICT RESULTS,MAPLETON 1,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0010,GLOBAL LEADERSHIP ACADEMY,MAPLETON 1,0263,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0010,MAPLETON EARLY COLLEGE HIGH SCHOOL,MAPLETON 1,0212,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0010,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,MAPLETON 1,0187,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0010,THE NEW AMERICA SCHOOL,MAPLETON 1,4699,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0010,YORK INTERNATIONAL,MAPLETON 1,0503,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0020,ACADEMY OF CHARTER SCHOOLS,ADAMS 12 FIVE STAR SCHOOLS,0015,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0020,COLORADO VIRTUAL ACADEMY (COVA),ADAMS 12 FIVE STAR SCHOOLS,1752,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0020,DISTRICT RESULTS,ADAMS 12 FIVE STAR SCHOOLS,0000,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0020,HORIZON HIGH SCHOOL,ADAMS 12 FIVE STAR SCHOOLS,4108,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0020,LEGACY HIGH SCHOOL,ADAMS 12 FIVE STAR SCHOOLS,5043,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0020,MOUNTAIN RANGE HIGH SCHOOL,ADAMS 12 FIVE STAR SCHOOLS,6060,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0020,NORTHGLENN HIGH SCHOOL,ADAMS 12 FIVE STAR SCHOOLS,6402,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0020,THORNTON HIGH SCHOOL,ADAMS 12 FIVE STAR SCHOOLS,5816,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0020,VANTAGE POINT,ADAMS 12 FIVE STAR SCHOOLS,0210,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0030,ADAMS CITY HIGH SCHOOL,ADAMS COUNTY 14,0024,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0030,DISTRICT RESULTS,ADAMS COUNTY 14,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0030,LESTER R ARNOLD HIGH SCHOOL,ADAMS COUNTY 14,0022,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0040,ADAMS YOUTH SERVICE CENTER,BRIGHTON 27J,9801,,,,,,,,,,,,,,,,,,,,,,,,,,
0040,BRIGHTON HERITAGE ACADEMY,BRIGHTON 27J,1021,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0040,BRIGHTON HIGH SCHOOL,BRIGHTON 27J,1022,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0040,DISTRICT RESULTS,BRIGHTON 27J,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0040,EAGLE RIDGE ACADEMY,BRIGHTON 27J,2399,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0040,PRAIRIE VIEW HIGH SCHOOL,BRIGHTON 27J,7129,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0050,BENNETT HIGH SCHOOL,BENNETT 29J,0775,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0050,DISTRICT RESULTS,BENNETT 29J,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0060,DISTRICT RESULTS,STRASBURG 31-J,0000,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0060,STRASBURG HIGH SCHOOL,STRASBURG 31-J,8334,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0070,DISTRICT RESULTS,WESTMINSTER 50,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0070,HIDDEN LAKE HIGH SCHOOL,WESTMINSTER 50,3931,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0070,WESTMINSTER HIGH SCHOOL,WESTMINSTER 50,9466,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0100,ALAMOSA HIGH SCHOOL,ALAMOSA RE- 11J,0118,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0100,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLE,ALAMOSA RE- 11J,0368,,,,,,,,,,,,,,,,,,,,,,,,,,
