DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,% FREE AND REDUCED,,,Developed: 11-5-12
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,69.42%,,,
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,68.78%,,,
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,90.18%,,,
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,77.67%,,,
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,82.93%,,,
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,80.68%,,,
0010,MAPLETON 1,0503,YORK INTERNATIONAL,72.82%,,,
0010,MAPLETON 1,0504, WELBY MONTESSORI SCHOOL,79.45%,,,
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,82.47%,,,
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,70.57%,,,
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,88.01%,,,
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,78.64%,,,
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,42.00%,,,
0010,MAPLETON 1,4699,THE NEW AMERICA SCHOOL,73.30%,,,
0010,MAPLETON 1,5539,MAPLETON EARLY LEARNING CENTER,0.00%,,,
0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,44.59%,,,
0010,MAPLETON 1,9036,VALLEY VIEW K-8,70.25%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,33.59%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,8.46%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,14.27%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,3.89%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0070,ADAMS12 FIVE STAR PRESCHOOL,0.00%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,45.06%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,31.53%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,0.00%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,55.29%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,27.94%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,2.02%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),22.92%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,90.68%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,24.43%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1937,COYOTE RIDGE ELEMENTARY SCHOOL,4.55%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ELEMENTARY SCHOOL,19.22%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ELEMENTARY SCHOOL,17.98%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE ELEMENTARY SCHOOL,36.34%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW ELEMENTARY SCHOOL,34.80%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN ELEMENTARY SCHOOL,18.56%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,79.22%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELEMENTARY SCHOOL,43.47%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,92.01%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,18.04%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,76.10%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,9.10%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,7.23%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,43.13%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,16.31%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE ELEMENTARY SCHOOL,65.64%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE ELEMENTARY SCHOOL,75.00%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ELEMENTARY SCHOOL,93.39%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THORNTON MIDDLE SCHOOL,88.60%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,41.56%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,27.00%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,24.92%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,37.46%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6355,NORTH MOR ELEMENTARY SCHOOL,83.72%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6376,NORTH STAR ELEMENTARY SCHOOL,89.94%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,70.91%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,31.25%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,4.84%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6830,NIVER CREEK MIDDLE SCHOOL,91.61%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,7.26%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,7795,SILVER CREEK ELEMENTARY,5.08%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,8211,THE STUDIO SCHOOL,31.90%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,8225,STELLAR ELEMENTARY SCHOOL,38.28%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM SCHOOL,16.46%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,8361,STUKEY ELEMENTARY SCHOOL,80.25%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,8842,THORNTON ELEMENTARY SCHOOL,87.10%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,3.99%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,25.58%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,9494,WESTVIEW ELEMENTARY SCHOOL,59.47%,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,9682,WOODGLEN ELEMENTARY SCHOOL,40.06%,,,
0030,ADAMS COUNTY 14,0020,ADAMS CITY MIDDLE SCHOOL,88.51%,,,
0030,ADAMS COUNTY 14,0022,LESTER R ARNOLD HIGH SCHOOL,47.01%,,,
0030,ADAMS COUNTY 14,0024,ADAMS CITY HIGH SCHOOL,80.76%,,,
0030,ADAMS COUNTY 14,0124,STARS EARLY LEARNING CENTER,0.00%,,,
0030,ADAMS COUNTY 14,0186,ALSUP ELEMENTARY SCHOOL,89.46%,,,
0030,ADAMS COUNTY 14,1426,CENTRAL ELEMENTARY SCHOOL,90.25%,,,
0030,ADAMS COUNTY 14,2308,DUPONT ELEMENTARY SCHOOL,90.75%,,,
0030,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,88.67%,,,
0030,ADAMS COUNTY 14,4536,KEMP ELEMENTARY SCHOOL,88.81%,,,
0030,ADAMS COUNTY 14,5880,MILDRED L SANVILLE PRESCHOOL,0.00%,,,
0030,ADAMS COUNTY 14,5982,MONACO ELEMENTARY SCHOOL,88.34%,,,
0030,ADAMS COUNTY 14,6534,HANSON ELEMENTARY SCHOOL,88.12%,,,
0030,ADAMS COUNTY 14,7500,ROSE HILL ELEMENTARY SCHOOL,90.08%,,,
0040,BRIGHTON 27J,0006,COUNTY JAIL,0.00%,,,
0040,BRIGHTON 27J,0700,BELLE CREEK CHARTER SCHOOL,32.05%,,,
0040,BRIGHTON 27J,1021,BRIGHTON HERITAGE ACADEMY,9.76%,,,
0040,BRIGHTON 27J,1022,BRIGHTON HIGH SCHOOL,21.29%,,,
0040,BRIGHTON 27J,1052,BROMLEY EAST CHARTER SCHOOL,25.22%,,,
0040,BRIGHTON 27J,2399,EAGLE RIDGE ACADEMY,26.49%,,,
0040,BRIGHTON 27J,2945,FOUNDATIONS ACADEMY,13.08%,,,
0040,BRIGHTON 27J,3900,HENDERSON ELEMENTARY SCHOOL,49.76%,,,
0040,BRIGHTON 27J,4950,LANDMARK ACADEMY AT REUNION,9.64%,,,
0040,BRIGHTON 27J,5615,MARY E PENNOCK ELEMENTARY SCHOOL,40.73%,,,
