School_Districte,School_Name,PUBLIC_PRIVATE,Schoolnumber,Remediation_at_leastone_pct2010,,"This is 2011 data: created Nov 7, 2012"
DENVER COUNTY 1,ABRAHAM LINCOLN HIGH SCHOOL,PUB,0010,78%,,
ADAMS COUNTY 14,ADAMS CITY HIGH SCHOOL,PUB,0024,72%,,
JEFFERSON COUNTY R-1,MCLAIN COMMUNITY HS,PUB,0034,71%,,
GARFIELD RE-2,COAL RIDGE HIGH SCHOOL,PUB,0065,50%,,
ACADEMY 20,AIR ACADEMY HIGH SCHOOL,PUB,0076,24%,,
JEFFERSON COUNTY R-1,ALAMEDA HIGH SCHOOL,PUB,0108,67%,,
ALAMOSA RE-11J,ALAMOSA HIGH SCHOOL,PUB,0118,46%,,
LITTLETON 6,ARAPAHOE HIGH SCHOOL,PUB,0298,22%,,
JEFFERSON COUNTY R-1,ARVADA SENIOR HIGH SCHOOL,PUB,0370,56%,,
JEFFERSON COUNTY R-1,ARVADA WEST HIGH SCHOOL,PUB,0378,28%,,
ASPEN 1,ASPEN HIGH SCHOOL,PUB,0432,13%,,
ROARING FORK RE-1,BASALT HIGH SCHOOL,PUB,0570,29%,,
EAGLE COUNTY RE 50,BATTLE MOUNTAIN HIGH SCHOOL,PUB,0604,30%,,
BAYFIELD 10 JT-R,BAYFIELD HIGH SCHOOL,PUB,0640,38%,,
JEFFERSON COUNTY R-1,BEAR CREEK HIGH SCHOOL,PUB,0664,34%,,
BENNETT 29J,BENNETT SENIOR HIGH SCHOOL,PUB,0775,31%,,
THOMPSON R-2J,BERTHOUD HIGH SCHOOL,PUB,0812,27%,,
BOULDER VALLEY RE 2,BOULDER HIGH SCHOOL,PUB,0924,20%,,
BRIGHTON 27J,BRIGHTON HIGH SCHOOL,PUB,1022,45%,,
BOULDER VALLEY RE 2,BROOMFIELD HIGH SCHOOL,PUB,1070,29%,,
BRUSH RE-2(J),BRUSH HIGH SCHOOL,PUB,1096,45%,,
BUENA VISTA R-31,BUENA VISTA HIGH SCHOOL,PUB,1130,37%,,
CANON CITY RE-1,CANON CITY SENIOR HIGH SCHOOL,PUB,1266,38%,,
DOUGLAS COUNTY RE 1,CASTLE VIEW HIGH SCHOOL,PUB,1367,31%,,
DELTA COUNTY 50(J),CEDAREDGE HIGH SCHOOL,PUB,1372,37%,,
NORTH CONEJOS RE-1J,CENTAURI HIGH SCHOOL,PUB,1378,68%,,
BOULDER VALLEY RE 2,CENTAURUS HIGH SCHOOL,PUB,1380,30%,,
PUEBLO CITY 60,CENTENNIAL HIGH SCHOOL,PUB,1402,54%,,
KEENESBURG RE-3(J),WELD CENTRAL HIGH SCHOOL,PUB,1446,35%,,
MESA COUNTY VALLEY 51,CENTRAL HIGH SCHOOL,PUB,1450,48%,,
PUEBLO CITY 60,CENTRAL HIGH SCHOOL,PUB,1454,62%,,
ADAMS-ARAPAHOE 28J,AURORA CENTRAL HIGH SCHOOL,PUB,1458,74%,,
DOUGLAS COUNTY RE 1,CHAPARRAL HIGH SCHOOL,PUB,1503,23%,,
JEFFERSON COUNTY R-1,CHATFIELD SENIOR HIGH SCHOOL,PUB,1522,24%,,
CHERRY CREEK 5,CHEROKEE TRAIL HIGH SCHOOL,PUB,1551,31%,,
CHERRY CREEK 5,CHERRY CREEK HIGH SCHOOL,PUB,1570,15%,,
CHEYENNE MOUNTAIN 12,CHEYENNE MOUNTAIN HIGH SCHOOL,PUB,1590,16%,,
ACADEMY 20,CLASSICAL ACADEMY (TCA),PUB,1630,6%,,
JEFFERSON COUNTY R-1,COLUMBINE HIGH SCHOOL,PUB,1864,29%,,
COLORADO SPRINGS 11,CORONADO HIGH SCHOOL,PUB,1870,24%,,
JEFFERSON COUNTY R-1,CONIFER HIGH SCHOOL,PUB,1886,27%,,
JEFFERSON COUNTY R-1,DAKOTA RIDGE HIGH SCHOOL,PUB,2093,17%,,
JEFFERSON COUNTY R-1,D'EVELYN JUNIOR-SENIOR HS,PUB,2120,1%,,
DELTA COUNTY 50(J),DELTA SENIOR HIGH SCHOOL,PUB,2164,43%,,
DENVER COUNTY 1,DENVER SCHOOL OF THE ARTS,PUB,2184,34%,,
DENVER COUNTY 1,DENVER SCH OF SCIENCE & TECH,PUB,2185,11%,,
COLORADO SPRINGS 11,THOMAS B DOHERTY HIGH SCHOOL,PUB,2202,34%,,
DOUGLAS COUNTY RE 1,DOUGLAS COUNTY HIGH SCHOOL,PUB,2230,26%,,
DURANGO 9-R,DURANGO HIGH SCHOOL,PUB,2318,32%,,
EAGLE COUNTY RE 50,EAGLE VALLEY HIGH SCHOOL,PUB,2350,33%,,
CHERRY CREEK 5,EAGLECREST HIGH SCHOOL,PUB,2357,31%,,
PUEBLO CITY 60,PUEBLO EAST HIGH SCHOOL,PUB,2394,60%,,
DENVER COUNTY 1,EAST HIGH SCHOOL,PUB,2398,49%,,
EATON RE-2,EATON HIGH SCHOOL,PUB,2456,40%,,
ELIZABETH C-1,ELIZABETH HIGH SCHOOL,PUB,2608,40%,,
ENGLEWOOD 1,ENGLEWOOD HIGH SCHOOL,PUB,2746,44%,,
ST VRAIN VALLEY RE 1J,ERIE MIDDLE-SENIOR HIGH SCHOOL,PUB,2761,35%,,
PARK (ESTES PARK) R-3,ESTES PARK HIGH SCHOOL,PUB,2794,29%,,
JEFFERSON COUNTY R-1,EVERGREEN SENIOR HIGH SCHOOL,PUB,2836,22%,,
GREELEY 6,UNIVERSITY HIGH SCHOOL,PUB,2850,32%,,
BOULDER VALLEY RE 2,FAIRVIEW HIGH SCHOOL,PUB,2892,10%,,
FALCON 49,FALCON HIGH SCHOOL,PUB,2908,49%,,
FLORENCE RE-2,FLORENCE HIGH SCHOOL,PUB,3002,48%,,
POUDRE R-1,FORT COLLINS HIGH SCHOOL,PUB,3046,29%,,
