District No,2010 School Name,School No,eng_yn,math_yn,read_yn,sci_yn
0010,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0187,0,0,0,0
0010,MAPLETON EARLY COLLEGE HIGH SCHOOL,0212,1,0,0,0
0010,WELBY NEW TECHNOLOGY,0221,0,0,0,0
0010,GLOBAL LEADERSHIP ACADEMY,0263,0,0,0,0
0010,SKYVIEW ACADEMY HIGH SCHOOL,0309,0,0,0,0
0010,YORK INTERNATIONAL,0503,1,0,0,0
0020,ACADEMY OF CHARTER SCHOOLS,0015,1,0,0,0
0020,VANTAGE POINT,0210,0,0,0,0
0020,COLORADO VIRTUAL ACADEMY (COVA),1752,1,0,0,0
0020,HORIZON HIGH SCHOOL,4108,1,0,0,0
0020,LEGACY HIGH SCHOOL,5043,1,0,0,0
0020,THORNTON HIGH SCHOOL,5816,1,0,0,0
0020,MOUNTAIN RANGE HIGH SCHOOL,6060,1,0,0,0
0020,NEW AMERICA SCHOOL,6261,0,0,0,0
0020,NORTHGLENN HIGH SCHOOL,6402,0,0,0,0
0030,LESTER R ARNOLD HIGH SCHOOL,0022,0,0,0,0
0030,ADAMS CITY HIGH SCHOOL,0024,0,0,0,0
0040,BRIGHTON HERITAGE ACADEMY,1021,0,0,0,0
0040,BRIGHTON HIGH SCHOOL,1022,1,0,0,0
0040,BRIGHTON COLLEGIATE HIGH SCHOOL,1027,1,0,0,0
0040,PRAIRIE VIEW HIGH SCHOOL,7129,0,0,0,0
0050,BENNETT HIGH SCHOOL,0775,1,0,0,0
0060,STRASBURG HIGH SCHOOL,8334,1,0,0,0
0070,HIDDEN LAKE HIGH SCHOOL,3931,0,0,0,0
0070,WESTMINSTER HIGH SCHOOL,9466,0,0,0,0
0100,ALAMOSA HIGH SCHOOL,0118,0,0,0,0
0100,ALAMOSA OPEN SCHOOL,0119,0,0,0,0
0120,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,0206,0,0,0,0
0120,ENGLEWOOD HIGH SCHOOL,2746,0,0,0,0
0123,SHERIDAN HIGH SCHOOL,7842,0,0,0,0
0130,CHEROKEE TRAIL HIGH SCHOOL,1551,1,0,0,0
0130,CHERRY CREEK HIGH SCHOOL,1570,1,1,1,1
0130,EAGLECREST HIGH SCHOOL,2357,1,0,0,0
0130,GRANDVIEW HIGH SCHOOL,3589,1,0,1,0
0130,OVERLAND HIGH SCHOOL,6625,0,0,0,0
0130,SMOKY HILL HIGH SCHOOL,8020,1,0,0,0
0140,ARAPAHOE HIGH SCHOOL,0298,1,1,1,0
0140,HERITAGE HIGH SCHOOL,3930,1,0,1,0
0140,LITTLETON HIGH SCHOOL,5224,1,0,0,0
0180,AURORA CENTRAL HIGH SCHOOL,1458,0,0,0,0
0180,GATEWAY HIGH SCHOOL,3354,0,0,0,0
0180,HINKLEY HIGH SCHOOL,4024,0,0,0,0
0180,NEW AMERICA SCHOOL,6219,0,0,0,0
0180,RANGEVIEW HIGH SCHOOL,7250,0,0,0,0
0180,WILLIAM SMITH HIGH SCHOOL,8356,0,0,0,0
0190,BYERS JUNIOR-SENIOR HIGH SCHOOL,1176,1,0,0,0
0220,PAGOSA SPRINGS HIGH SCHOOL,6658,0,0,0,0
0250,SPRINGFIELD HIGH SCHOOL,8168,1,0,0,0
0260,V.I.L.A.S. ONLINE SCHOOL,9085,0,0,0,0
0260,VILAS UNDIVIDED HIGH SCHOOL,9100,0,0,0,0
0290,LAS ANIMAS HIGH SCHOOL,4990,1,0,0,0
0310,MC CLAVE UNDIVIDED HIGH SCHOOL,5670,0,0,0,0
0470,ERIE HIGH SCHOOL,2761,1,0,0,0
0470,FREDERICK SENIOR HIGH SCHOOL,3196,1,0,0,0
0470,LONGMONT HIGH SCHOOL,5282,1,0,0,0
0470,LYONS MIDDLE/SENIOR HIGH SCHOOL,5368,1,1,1,0
0470,NIWOT HIGH SCHOOL,6276,1,0,1,0
0470,OLDE COLUMBINE HIGH SCHOOL,6498,0,0,0,0
0470,SILVER CREEK HIGH SCHOOL,7789,1,0,1,0
0470,SKYLINE HIGH SCHOOL,7954,1,0,0,0
