Organization Code,School Code,Phone,School Name,Physical Address,Physical City,Physical State,Physical Zipcode
0880,0010,7204235000,Abraham Lincoln High School,2285 South Federal Boulevard,Denver,CO,80219
0900,0011,3036604881,Academy Charter School,1551 Prairie Hawk Drive,Castle Rock,CO,80104
0900,0012,3033877125,Acres Green Elementary School,13524 North Acres Green Drive,Littleton,CO,80124
0020,0014,7209725940,Glacier Peak Elementary School,12060 Jasmine Street,Brighton,CO,80605
0020,0015,3032898088,Academy Of Charter Schools,11800 Lowell Blvd,Westminster,CO,80031
0130,0016,7208868700,Fox Hollow Elementary School,6363 South Waco Street,Aurora,CO,80116
1040,0017,7192345600,Academy Endeavour Elementary School,3475 Hampton Park Drive,Colorado Springs,CO,80920
0130,0018,7208862400,Liberty Middle School,21500 East Dry Creek Road,Aurora,CO,80016
1040,0019,7192344000,Academy International Elementary School,8550 Charity,Colorado Springs,CO,80920
0030,0020,3032895881,Adams City Middle School,4451 East 72nd Avenue,Commerce City,CO,80022
0030,0022,3032892983,Lester R Arnold High School,6500 East 72nd Avenue,Commerce City,CO,80022
0030,0024,3032893111,Adams City High School,7200 Quebec Parkway,Commerce City,CO,80022
2700,0025,7195471175,Sky View Middle School,1047 Camino De Bravo,Pueblo West,CO,81007
2700,0026,7196478878,Desert Sage Elementary School,935 South Palomar Drive,Pueblo West,CO,81007
0980,0029,7195794884,Adult & Family Literacy,2883 So. Circle Drive,Colorado Springs,CO,80906
1420,0030,3039829790,Adams Elementary School,6450 West 95th Place,Westminster,CO,80021
1420,0033,3039827460,Mc Lain High School,13600 West 2nd Place,Lakewood,CO,80228
1420,0034,3039827462,Mc Lain Community High School,13600 West 2nd Place,Lakewood,CO,80228
0970,0035,7193473156,Frontier Charter Academy,488 Yoder Street,Calhan,CO,80808
0910,0037,9703288970,Red Hill Elementary School,100 Grundel Way,Gypsum,CO,81637
0910,0038,9703288930,Brush Creek Elementary School,333 Eagle Ranch Road,Eagle,CO,81631
0910,0039,9703288980,Gypsum Creek Middle School,401 Grundel Way,Gypsum,CO,81637
0880,0040,3032141139,Ridge View Academy Charter School,28101 East Quincy Avenue,Watkins,CO,80137
2640,0042,9709234080,Aspen Community Charter School,1199 Woody Creek Road,Woody Creek,CO,81656
0960,0044,7197642741,Agate Elementary School,41032 2nd Avenue,Agate,CO,80101
0960,0048,7197642741,Agate Junior-Senior High School,41032 2nd Avenue,Agate,CO,80101
0890,0050,9709673450,Rico Elementary School,101 South Glasgow Avenue,Rico,CO,81332
2810,0051,7197542859,The Academic Recovery Center Of San Luis Valley,550 S. Sylvester Avenue,Center,CO,81125
3120,0052,9703482400,Heiman Elementary School,3500 Palermo,Evans,CO,80620
3120,0053,9703482600,Winograd K-8 Elementary School,320 North 71st Avenue,Greeley,CO,80634
3120,0054,9703482500,Romero Elementary School,1400 East 20th Street,Greeley,CO,80631
3100,0055,9706868600,Grandview Elementary School,1583 Grand Avenue,Windsor,CO,80550
2540,0056,7192634364,Fowler Elementary School,601 West Grant,Fowler,CO,80139
0020,0057,7209722200,Rocky Top Middle School,14150 York Street,Thornton,CO,80602
1620,0058,7199414188,Aguilar Elementary School,420 North Balsam,Aguilar,CO,81020
0020,0059,7209727880,Meridian Elementary School,14256 Mckay Park Circle,Broomfield,CO,80020
0470,0060,7206528160,Legacy Elementary School,7701 Eagle Boulevard,Frederick,CO,80504
0470,0061,7206528140,Alpine Elementary School,2005 Alpine Street,Longmont,CO,80501
1390,0063,7197382190,Peakview School,375 West Pine Street,Walsenburg,CO,81089
0220,0064,9702642835,Archuleta County High School,4th & Lewis,Pagosa Springs,CO,81147
1195,0065,9706256700,Coal Ridge High School,35947 Highway 6,New Castle,CO,81647
1620,0066,7199414188,Aguilar Junior-Senior High School,420 North Balsam,Aguilar,CO,81020
0880,0067,3032820900,Academy Of Urban Learning,835 East 18th Avenue,Denver,CO,80218
0020,0070,7209726001,Adams12 Five Star Preschool,1500 East 128th Avenue,Thornton,CO,80241
1040,0074,7192343000,Challenger Middle School,10215 Lexington Drive,Colorado Springs,CO,80920
8001,0075,0,Animas High School,3206 Main Avenue,Durango,CO,81320
1040,0076,7192342400,Air Academy High School,551 North Frontage Road West,Usaf Academy,CO,80840
3030,0086,9703452266,Akron Elementary School,301 East Fifth Street,Akron,CO,80720
3030,0090,9703452268,Akron High School,600 Elm,Akron,CO,80720
1420,0108,3039828160,Alameda High School,1255 South Wadsworth Blvd,Lakewood,CO,80232
1420,0109,3039821240,Arvada K-8,5751 Balsam Street,Arvada,CO,80002
1040,0110,7192341717,Academy Online High School,1110 Chapel Hills Drive,Colorado Springs,CO,80920
0100,0114,7195871650,Ortega Middle School,401 Victoria Avenue,Alamosa,CO,81101
0100,0115,7195871600,Alamosa Elementary School,1709 West 10th Street,Alamosa,CO,81101
0100,0118,7195876000,Alamosa High School,805 Craft Drive,Alamosa,CO,81101
0100,0119,7195871640,Alamosa Open School,216 Victoria Street,Alamosa,CO,81101
0030,0124,3038535000,Stars Early Learning Center,5650 Bowen Court,Commerce City,CO,80022
0480,0125,7205615220,Arapahoe Ridge High School,6600 Arapahoe Avenue,Boulder,CO,80303
0123,0138,7208336990,Alice Terry Elementary School,4485 South Irving Street,Englewood,CO,80150
0130,0141,7208864711,Sky Vista Middle School,4500 S Himalaya Street,Aurora,CO,80015
1550,0146,9704944620,Ridgeview Classical Charter Schools,1800 South Lemay Avenue,Fort Collins,CO,80525
1420,0148,3039821165,Allendale Elementary School,5900 Oak Street,Arvada,CO,80004
0030,0186,3032886865,Alsup Elementary School,7101 Birch Street,Commerce City,CO,80022
0010,0187,3038531270,Mapleton Expeditionary School Of The Arts,8990 York Street,Thornton,CO,80299
2660,0200,7193362154,Alta Vista Charter School,8785 Road Ll,Lamar,CO,81052
0900,0201,3033870650,Daniel C Oakes High School--Castle Rock,15 South Gilbert Street,Castle Rock,CO,80104
1828,0202,9705225079,Smith High School,201 South 11th Avenue,Sterling,CO,80751
1000,0203,7193821550,Lorraine Secondary School,301 East Iowa,Fountain,CO,80817
0910,0205,9709268107,Red Canyon High School,0256 Cememtary Road,Edwards,CO,81631
0120,0206,3039345786,Colorado's Finest Alternative High School,2323 West Baker,Englewood,CO,80110
1040,0209,7192346000,Aspen Valley High School,1450 Chapel Hills Drive,Colorado Springs,CO,80920
0020,0210,7209725800,Vantage Point,10900 Huron Street,Northglenn,CO,80234
0010,0212,3038531980,Mapleton Early College High School,7480 Conifer Rd,Denver,CO,80229
0180,0213,3033770758,Axl Academy,14100 East Jewell Avenue,Aurora,CO,80012
0180,0214,3033403500,Altura Elementary School,1650 Altura Blvd,Aurora,CO,80011
0900,0215,3036631543,American Academy At Castle Pines Charter,8600 Park Meadows Drive,Lone Tree,CO,80124
0180,0219,3033261111,Aps Online School,11700 East 11th Avenue,Aurora,CO,80010
0880,0220,7204249988,Amesse Elementary School,5440 Scranton Street,Denver,CO,80239
1520,0225,9702470124,Animas Valley Elementary School,373 Hermosa Meadows Road,Durango,CO,81301
0470,0226,7204943980,Altona Middle School,4600 Clover Basin Drive,Longmont,CO,80503
0130,0242,7208863300,Antelope Ridge Elementary School,5455 South Tempe Street,Aurora,CO,80015
0130,0243,7208863900,Coyote Hills Elementary School,24605 E Davies Way,Aurora,CO,80016
0580,0248,7193765407,Guadalupe Elementary School,900 West 8th Street,Antonito,CO,81120
1040,0249,7192344100,Antelope Trails Elementary School,15280 Jessie Drive,Colorado Springs,CO,80921
0580,0250,7193765468,Antonito Junior High School,620 Pine Street,Antonito,CO,81120
0580,0252,7193765468,Antonito High School,620 Pine Street,Antonito,CO,81120
2000,0262,9702546400,Appleton Elementary School,2358 H Road,Grand Junction,CO,81505
0010,0263,3038531930,Global Leadership Academy,7480 Conifer Road,Denver,CO,80221
0900,0264,3033870708,Cimarron Middle,22219 Hilltop Road,Parker,CO,80134
0900,0265,3033875852,Clear Sky Elementary,1470 Clear Sky Way,Castle Rock,CO,80109
0900,0266,3033870708,Gold Rush Elementary,12021 South Swift Fox Way,Parker,CO,80134
0900,0267,3033871169,Mesa Middle School,365 Mitchell Street,Castle Rock,CO,80104
1010,0269,7193283000,Achievek12,1702 North Murray Blvd,Colorado Springs,CO,80915
0140,0298,3033476000,Arapahoe High School,2201 East Dry Creek Road,Centennial,CO,80122
0020,0301,7209725740,Arapahoe Ridge Elementary School,13095 Pecos Street,Westminster,CO,80030
3040,0304,9703832202,Arickaree Elementary School,12155 County Road Nn,Anton,CO,80801
3040,0308,9703832202,Arickaree Undivided High School,12155 County Road Nn,Anton,CO,80801
0010,0309,3038531900,Skyview Academy High School,8990 York Street,Thornton,CO,80229
0180,0310,3037550323,Arkansas Elementary School,17301 East Arkansas Ave,Aurora,CO,80017
0130,0348,7208862800,Arrowhead Elementary School,19100 East Bates Avenue,Aurora,CO,80013
0900,0354,3033876875,Arrowwood Elementary School,10345 Arrowwood Drive,Highlands Ranch,CO,80130
2000,0361,9702546720,Fruita 8/9 School,1835 J Road,Fruita,CO,81521
2000,0362,9702546770,Rim Rock Elementary School,1810 J 6 Road,Fruita,CO,81521
2000,0363,9702545960,Pear Park Elementary School,432 30 1/4 Road,Grand Junction,CO,81504
1420,0370,3039820162,Arvada High School,7951 West 65th Avenue,Arvada,CO,80004
1420,0378,3039821303,Arvada West High School,11595 Allendale Drive,Arvada,CO,80004
0880,0388,7204249888,Asbury Elementary School,1320 East Asbury Avenue,Denver,CO,80210
0880,0408,7204243310,Valdez Elementary School,2525 West 29 Avenue,Denver,CO,80211
0880,0418,7204249750,Ashley Elementary School,1914 Syracuse Street,Denver,CO,80220
2640,0428,9709253760,Aspen Elementary School,0235 High School Road,Aspen,CO,81611
1180,0429,9709639647,Carbondale Community Charter School,1505 Satank Road,Carbondale,CO,81623
2640,0430,9709253760,Aspen Middle School,0235 High School Road,Aspen,CO,81611
2640,0432,9709253760,Aspen High School,0235 High School Road,Aspen,CO,81611
0480,0441,7205618000,Aspen Creek K-8 School,5500 Aspen Creek Drive,Broomfield,CO,80020
0130,0442,7208863700,Aspen Crossing Elementary School,4655 S Himalaya Street,Centennial,CO,80015
2640,0447,9709253760,Aspen Pre-School,0235 High School Road,Aspen,CO,81611
1010,0452,7193282600,Audubon Elementary School,2400 East Van Buren Street,Colorado Springs,CO,80909
0180,0458,3033675983,Aurora Academy Charter School,10251 East 1st Ave,Aurora,CO,80010
0180,0464,3033417450,Aurora Hills Middle School,1009 South Uvalda St,Aurora,CO,80012
0180,0465,3036931995,Aurora Frontier K-8,3200 S Jericho Way,Aurora,CO,80013
0980,0469,7193587196,Atlas Preparatory School,1628 South Murray Blvd,Colorado Springs,CO,80916
0910,0471,9703282950,Avon Elementary School,805 West Beaver Creek,Avon,CO,81620
2700,0472,7199473484,Avondale Elementary School,213 Highway 50 East,Avondale,CO,81022
1550,0477,9704885100,Zach Elementary School,3715 Kechter Road,Fort Collins,CO,80528
0870,0489,9708749517,Backpack Early Learning Academy,822 Grand Avenue,Delta,CO,81416
1550,0490,9704885300,Bacon Elementary School,5844 South Timberline Road,Fort Collins,CO,80528
2405,0492,9708678422,Baker Central School,300 Lake Street,Fort Morgan,CO,80701
1550,0498,9704884300,Bethke Elementary School,5100 School House Drive,Timnath,CO,80547
0010,0501,3038531360,Monterey Community School,2210 Mcelwain Blvd,Denver,CO,80229
0010,0502,3038531500,Meadow Community School,9150 Monroe St,Thornton,CO,80229
0010,0503,3038531600,York International,9200 York St,Thornton,CO,80229
0010,0504,3038531700, Welby Montessori School,1200 E 78th Ave,Denver,CO,80229
0010,0505,3038531300,Achieve Academy,9100 Poze Blvd,Thornton,CO,80229
0010,0506,3038531300,Explore Elementary,9150 Poze Blvd,Thornton,CO,80229
0010,0507,3038531410,Adventure Elementary,7700 Delta St.,Denver,CO,80221
0010,0509,3038531460,Clayton Partnership School,2410 Poze Blvd,Thornton,CO,80229
1560,0510,9706137300,Conrad Ball Middle School,2660 North Monroe Avenue,Loveland,CO,80538
1828,0515,9705221409,Ayres Elementary School,1812 Robin Road,Sterling,CO,80751
1010,0517,0,Academy For Advanced And Creative Learning,2510 North Chestnut Street,Colorado Springs,CO,80907
0880,0520,7204249784,Barnum Elementary School,85 Hooker Street,Denver,CO,80219
0880,0540,7204249530,Barrett Elementary School,2900 Richard Allen Court,Denver,CO,80205
1550,0550,9704903204,Barton Prekindergarten,703 East Prospect,Fort Collins,CO,80525
1110,0555,7195700075,Banning Lewis Ranch Academy,7094 Cottonwood Tree Drive,Colorado Springs,CO,80927
1180,0560,9703845800,Basalt Elementary School,151 East Cottonwood Drive,Basalt,CO,81621
1180,0561,9703845900,Basalt Middle School,51 School Street,Basalt,CO,81621
1180,0570,9703845959,Basalt High School,600 Southside Drive,Basalt,CO,81621
1010,0594,7193285400,Bates Elementary School,702 Cragmor Road,Colorado Springs,CO,80907
0910,0604,9703282930,Battle Mountain High School,151 Miller Ranch Road,Edwards,CO,81620
2035,0609,9705653237,Battle Rock Charter School,11247 County Road G,Cortez,CO,81321
1550,0612,9704884150,Bauder Elementary School,2345 West Prospect,Fort Collins,CO,80526
1530,0632,9708849571,Bayfield Elementary School,"511 E Mustang Ln, 24 Clover Dr",Bayfield,CO,81122
1530,0636,9708849592,Bayfield Middle School,"615 E. Oak, 24 Clover Dr",Bayfield,CO,81122
1530,0640,9708849521,Bayfield High School,"800 Co Rd 501, 24 Clover Dr",Bayfield,CO,81122
0880,0650,7204249470,Beach Court Elementary School,4950 Beach Court,Denver,CO,80221
0900,0651,3033876475,Bear Canyon Elementary School,9660 Salford Lane,Highlands Ranch,CO,80126
0480,0652,7205613500,Bear Creek Elementary School,2500 Table Mesa Drive,Boulder,CO,80305
