SchoolName,DistrictNumber,DistrictName,EMH,EMH_combined,SchoolNumber,AEC_10,CharterorOnline,LowestGrade,HighestGrade,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
BEAR CREEK ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,0652,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,1,13,13,13,12,13,12,10,12,10,
CHALLENGE SCHOOL,0130,CHERRY CREEK 5,E,,1510,0,,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,13,1,13,13,13,13,13,10,9,9,10,
CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,1574,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,1,12,12,12,12,12,13,13,12,13,
DRY CREEK ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,2292,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,1,12,12,12,12,10,13,12,10,13,
STECK ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,8222,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,1,13,13,13,13,12,13,13,12,13,
TIMBER TRAIL ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,8853,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,1,12,12,12,12,12,12,11,12,10,
DENNISON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9432,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,13,1,13,13,13,13,13,12,10,12,10,
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,H,,0146,0,Charter,Kindergarten,12th Grade,Performance Plan,Performance Plan,,2,0,13,1,13,13,12,13,13,12,12,10,9,92.6
TRAUT CORE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,9251,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,1,13,13,13,13,13,13,13,9,13,
ZACH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,0477,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,1,13,13,13,13,13,12,12,10,12,
COYOTE RIDGE ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,2089,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,1,13,13,13,12,13,13,13,13,13,
THE CLASSICAL ACADEMY HIGH SCHOOL,1040,ACADEMY 20,H,,1630,0,Charter,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,13,2,13,12,12,13,13,10,9,10,10,99.2
KIOWA HIGH SCHOOL,0930,KIOWA C-2,H,,4728,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,13,3,10,10,10,9,10,13,13,13,13,100
ASPEN HIGH SCHOOL,2640,ASPEN 1,H,,0432,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,13,4,12,12,12,12,10,10,10,9,9,94.7
CHEYENNE MOUNTAIN HIGH SCHOOL,1020,CHEYENNE MOUNTAIN 12,H,,1590,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,13,5,12,12,12,12,12,9,9,9,9,94.4
WEST GRAND HIGH SCHOOL,1340,WEST GRAND 1-JT.,H,,9420,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,13,6,11,12,9,12,13,13,13,12,13,83.6
JEFFERSON CHARTER ACADEMY SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,4410,0,Charter,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,13,7,11,12,9,12,12,12,10,10,12,90.9
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,0880,DENVER COUNTY 1,H,MH,2185,0,Charter,6th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,2,0,13,8,10,9,11,9,9,13,12,13,13,85.9
PEAK TO PEAK CHARTER SCHOOL,0480,BOULDER VALLEY RE 2,H,,6816,0,Charter,Kindergarten,12th Grade,Performance Plan,Performance Plan,,2,0,12,9,12,12,12,12,13,9,8,9,9,97.8
TELLURIDE HIGH SCHOOL,2830,TELLURIDE R-1,H,,8794,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,10,12,13,12,12,11,9,9,9,9,94.5
NORTHRIDGE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,6406,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,13,11,13,12,12,13,13,12,12,9,12,
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,H,,2006,0,,Kindergarten,12th Grade,Performance Plan,Performance Plan,,2,0,12,11,12,12,12,12,10,11,9,13,6,93.8
THE VANGUARD SCHOOL (HIGH),8001,CHARTER SCHOOL INSTITUTE,H,,9057,0,Charter,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,12,13,13,13,13,13,13,13,9,13,
BEAR CANYON ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,0651,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,13,12,12,12,12,12,12,12,12,12,12,
HULSTROM OPTIONS K-8 SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,4172,0,,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,13,13,13,13,13,13,12,12,12,9,12,
COTTONWOOD CREEK ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,1916,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,13,12,12,12,12,12,12,12,9,11,
STONE MOUNTAIN ELEMENTARY,0900,DOUGLAS COUNTY RE 1,E,,2953,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,13,13,12,12,12,12,10,12,11,12,10,
MEIKLEJOHN ELEMENTARY,1420,JEFFERSON COUNTY R-1,E,,5758,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,13,13,12,12,12,12,12,13,13,13,13,
HERITAGE HIGH SCHOOL,0140,LITTLETON 6,H,,3930,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,13,12,12,12,12,12,10,9,12,9,93.6
EVERGREEN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,2836,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,14,13,12,13,12,12,9,6,9,9,93.9
LYONS MIDDLE/SENIOR HIGH SCHOOL,0470,ST VRAIN VALLEY RE 1J,H,MH,5368,0,,6th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,2,0,12,15,12,12,13,11,12,10,9,10,9,96.6
ARAPAHOE HIGH SCHOOL,0140,LITTLETON 6,H,,0298,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,16,12,12,12,12,12,9,7,9,7,96
BELLEVIEW ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,0714,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,17,12,12,12,12,12,11,10,9,12,
HIGHLANDS RANCH HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,3980,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,17,11,11,11,11,10,10,9,7,12,93.1
HORIZONS K-8 SCHOOL,0480,BOULDER VALLEY RE 2,E,,6642,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,13,18,12,12,12,11,12,12,9,9,12,
BROMWELL ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1056,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,18,12,12,12,12,12,12,12,10,12,
RALSTON VALLEY SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,7239,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,18,12,12,13,12,12,9,7,12,7,91.6
FLAGLER SENIOR HIGH SCHOOL,1450,ARRIBA-FLAGLER C-20,H,,2960,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,19,9,12,9,9,8,12,11,10,12,91.5
POLARIS AT EBERT ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,2027,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,20,13,13,13,13,13,12,13,9,9,
ROCK CANYON HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,7435,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,20,12,12,12,12,12,7,8,6,8,94.8
NORTH STAR ACADEMY,0900,DOUGLAS COUNTY RE 1,E,,1579,0,Charter,Kindergarten,7th Grade,Performance Plan,Performance Plan,,1,0,13,21,12,11,12,12,9,12,10,11,11,
JAMES IRWIN CHARTER HIGH SCHOOL,0980,HARRISON 2,H,,4378,0,Charter,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,21,12,12,10,12,12,9,9,9,8,85.7
BUENA VISTA HIGH SCHOOL,0490,BUENA VISTA R-31,H,,1130,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,22,9,11,7,9,10,12,10,12,12,95.2
BERGEN VALLEY INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,,0779,0,,3rd Grade,5th Grade,Performance Plan,Performance Plan,,1,0,13,22,12,12,12,12,12,10,10,9,10,
SUPERIOR ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,8418,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,23,12,13,12,12,11,13,11,11,13,
DENVER SCHOOL OF THE ARTS,0880,DENVER COUNTY 1,H,MH,2184,0,,6th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,2,0,12,23,12,12,11,13,13,11,9,9,12,94.4
CORY ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1908,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,24,12,12,12,11,10,13,11,13,13,
ELBERT JUNIOR-SENIOR HIGH SCHOOL,0950,ELBERT 200,H,,2574,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,24,7,8,6,9,9,12,10,10,10,94.4
STEELE ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,8246,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,25,12,12,12,11,12,12,11,11,10,
BEACH COURT ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,0650,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,13,25,11,12,12,10,6,13,13,13,13,
BRADFORD INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,,0952,0,,4th Grade,6th Grade,Performance Plan,Performance Plan,,1,0,13,25,13,13,12,13,13,12,12,11,11,
PEYTON JUNIOR/SENIOR HIGH SCHOOL,1060,PEYTON 23 JT,H,,6902,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,25,9,8,7,9,9,11,12,9,10,96.7
PRAIRIE JUNIOR-SENIOR HIGH SCHOOL,3147,PRAIRIE RE-11,H,MH,7156,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,2,0,12,25,10,10,9,10,9,10,9,9,12,92
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,MH,2120,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,2,0,12,27,13,13,13,13,13,9,9,10,7,98.6
CHERRY CREEK HIGH SCHOOL,0130,CHERRY CREEK 5,H,,1570,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,12,28,12,12,13,12,12,9,7,9,7,92.8
ACADEMY CHARTER SCHOOL,0900,DOUGLAS COUNTY RE 1,M,,0011,0,Charter,Kindergarten,9th Grade,Performance Plan,Performance Plan,,1,0,13,28,11,11,10,10,12,12,9,12,11,
ALTONA MIDDLE SCHOOL,0470,ST VRAIN VALLEY RE 1J,M,,0226,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,13,28,10,10,9,12,10,12,10,10,12,
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,H,,2195,0,,Pre-Kindergarten,11th Grade,Performance Plan,Performance Plan,,2,0,12,29,12,12,11,13,12,9,9,7,11,
DOUGLASS ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,2240,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,30,13,12,13,12,13,11,8,10,11,
CHALLENGE SCHOOL,0130,CHERRY CREEK 5,M,,1510,0,,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,30,13,13,13,13,13,10,11,7,10,
CORE KNOWLEDGE CHARTER SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1873,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,30,12,12,13,12,12,12,9,12,13,
PLATTE RIVER CHARTER ACADEMY,0900,DOUGLAS COUNTY RE 1,M,,7047,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,30,12,12,11,12,13,10,6,12,10,
LITTLETON ACADEMY,0140,LITTLETON 6,M,,5229,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,30,13,13,12,13,12,9,6,9,10,
PAWNEE JUNIOR-SENIOR HIGH SCHOOL,3148,PAWNEE RE-12,H,,6812,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,11,30,10,9,10,12,7,8,6,12,5,97.1
